Epoch [1/10] | Train Loss: 1.7932 | Train Acc: 33.67% | Test Acc: 40.93%
Epoch [2/10] | Train Loss: 1.5583 | Train Acc: 43.15% | Test Acc: 46.21%
Epoch [3/10] | Train Loss: 1.4293 | Train Acc: 48.29% | Test Acc: 49.67%
Epoch [4/10] | Train Loss: 1.3320 | Train Acc: 51.55% | Test Acc: 53.35%
Epoch [5/10] | Train Loss: 1.2482 | Train Acc: 54.78% | Test Acc: 53.44%
Epoch [6/10] | Train Loss: 1.1803 | Train Acc: 57.23% | Test Acc: 56.62%
Epoch [7/10] | Train Loss: 1.1173 | Train Acc: 59.87% | Test Acc: 57.04%
Epoch [8/10] | Train Loss: 1.0544 | Train Acc: 62.13% | Test Acc: 56.75%
Epoch [9/10] | Train Loss: 1.0002 | Train Acc: 64.39% | Test Acc: 58.10%
Epoch [10/10] | Train Loss: 0.9394 | Train Acc: 66.43% | Test Acc: 59.18%
