Epoch 1 starting...
  Batch 350, Avg Loss=2.9677
  Batch 400, Avg Loss=2.9673
  Batch 450, Avg Loss=2.9685
  Batch 500, Avg Loss=2.9678
  Batch 550, Avg Loss=2.9556
  Batch 600, Avg Loss=2.9516
  Batch 650, Avg Loss=2.9491
  Batch 700, Avg Loss=2.9440
  Batch 750, Avg Loss=2.9726
  Batch 800, Avg Loss=2.9283
  Batch 850, Avg Loss=2.9498
  Batch 900, Avg Loss=2.9651
  Batch 950, Avg Loss=2.9326
  Batch 1000, Avg Loss=2.9529
  Batch 1050, Avg Loss=2.9515
  Batch 1100, Avg Loss=2.9661
  Batch 1150, Avg Loss=2.9415
  Batch 1200, Avg Loss=2.9407
  Batch 1250, Avg Loss=2.9558
  Batch 1300, Avg Loss=2.9503
  Batch 1350, Avg Loss=2.9485
  Batch 1400, Avg Loss=2.9490
  Batch 1450, Avg Loss=2.9489
  Batch 1500, Avg Loss=2.9560
  Batch 1550, Avg Loss=2.9726
Epoch 7 starting...
  Batch 50, Avg Loss=2.9615
  Batch 100, Avg Loss=2.9538
  Batch 150, Avg Loss=2.9570
  Batch 200, Avg Loss=2.9576
  Batch 250, Avg Loss=2.9489
  Batch 300, Avg Loss=2.9571
  Batch 350, Avg Loss=2.9582
  Batch 400, Avg Loss=2.9589
  Batch 450, Avg Loss=2.9534
  Batch 500, Avg Loss=2.9394
  Batch 550, Avg Loss=2.9500
  Batch 600, Avg Loss=2.9533
  Batch 650, Avg Loss=2.9289
  Batch 700, Avg Loss=2.9459
  Batch 750, Avg Loss=2.9137
  Batch 800, Avg Loss=2.9557
  Batch 850, Avg Loss=2.9551
  Batch 900, Avg Loss=2.9090
  Batch 950, Avg Loss=2.9150
  Batch 1000, Avg Loss=2.9306
  Batch 1050, Avg Loss=2.9607
  Batch 1100, Avg Loss=2.9299
  Batch 1150, Avg Loss=2.9424
  Batch 1200, Avg Loss=2.9430
  Batch 1250, Avg Loss=2.9436
  Batch 1300, Avg Loss=2.9599
  Batch 1350, Avg Loss=2.9246
  Batch 1400, Avg Loss=2.9246
  Batch 1450, Avg Loss=2.9239
  Batch 1500, Avg Loss=2.9414
  Batch 1550, Avg Loss=2.9283
Epoch 8 starting...
  Batch 50, Avg Loss=2.9370
  Batch 100, Avg Loss=2.9385
  Batch 150, Avg Loss=2.9169
  Batch 200, Avg Loss=2.9228
  Batch 250, Avg Loss=2.9390
  Batch 300, Avg Loss=2.9530
  Batch 350, Avg Loss=2.9368
  Batch 400, Avg Loss=2.9445
  Batch 450, Avg Loss=2.9374
  Batch 500, Avg Loss=2.9463
  Batch 550, Avg Loss=2.9476
  Batch 600, Avg Loss=2.9271
  Batch 650, Avg Loss=2.9333
  Batch 700, Avg Loss=2.9084
  Batch 750, Avg Loss=2.9156
  Batch 800, Avg Loss=2.9189
  Batch 850, Avg Loss=2.9375
  Batch 900, Avg Loss=2.9237
  Batch 950, Avg Loss=2.9292
  Batch 1000, Avg Loss=2.9036
  Batch 1050, Avg Loss=2.9347
  Batch 1100, Avg Loss=2.9443
  Batch 1150, Avg Loss=2.9488
  Batch 1200, Avg Loss=2.9405
  Batch 1250, Avg Loss=2.9259
  Batch 1300, Avg Loss=2.9089
  Batch 1350, Avg Loss=2.9406
  Batch 1400, Avg Loss=2.9179
  Batch 1450, Avg Loss=2.9115
  Batch 1500, Avg Loss=2.9380
  Batch 1550, Avg Loss=2.8991
Epoch 9 starting...
  Batch 50, Avg Loss=2.9156
  Batch 100, Avg Loss=2.9099
  Batch 150, Avg Loss=2.9263
  Batch 200, Avg Loss=2.9487
  Batch 250, Avg Loss=2.9321
  Batch 300, Avg Loss=2.9262
  Batch 350, Avg Loss=2.9348
